City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,bathsheba,13.2167,-59.5167,26.34,73,40,8.75,BB,1675483004
255,merauke,-8.4667,140.3333,27.68,84,100,9.12,ID,1675483004
256,turukhansk,65.8167,87.9833,-13.39,97,99,2.18,RU,1675483005
257,sinnamary,5.3833,-52.95,24.52,88,100,5.52,GF,1675482887
258,virginia beach,36.8529,-75.978,-0.55,43,0,8.75,US,1675483005
259,rio gallegos,-51.6226,-69.2181,15.03,38,0,8.75,AR,1675482722
260,kysyl-syr,63.8986,122.7617,-26.89,93,100,1.93,RU,1675482874
261,hohhot,40.8106,111.6522,-3.84,42,0,1.0,CN,1675483005
262,youkounkoun,12.5333,-13.1333,22.52,19,6,0.64,GN,1675483006
263,constitucion,-35.3333,-72.4167,15.16,95,21,3.78,CL,1675482958
264,castro,-24.7911,-50.0119,18.19,97,100,3.12,BR,1675482863
265,husavik,66.0449,-17.3389,-0.96,67,82,8.2,IS,1675482890
266,slupca,52.2873,17.8719,-2.21,82,94,9.22,PL,1675483007
267,alugan,12.2188,125.4808,26.86,82,98,6.41,PH,1675483007
268,kudahuvadhoo,2.6708,72.8944,26.42,68,73,4.29,MV,1675483007
269,kushima,31.4583,131.2333,13.75,47,100,4.13,JP,1675483008
270,vestmanna,62.1564,-7.1664,8.51,93,100,6.69,FO,1675483008
271,ancud,-41.8697,-73.8203,14.94,79,0,0.93,CL,1675483008
272,saint george,37.1041,-113.5841,10.53,48,0,3.6,US,1675482723
273,axim,4.8699,-2.2405,25.94,88,34,2.31,GH,1675483009
274,talnakh,69.4865,88.3972,-12.76,97,100,2.13,RU,1675482866
275,comodoro rivadavia,-45.8667,-67.5,26.92,22,0,5.66,AR,1675483010
276,buraydah,26.326,43.975,9.25,47,0,3.76,SA,1675482896
277,bud,39.447,-86.1758,-7.88,70,5,1.72,US,1675483010
278,ankang,32.68,109.0172,11.6,45,85,2.24,CN,1675483010
279,vaitape,-16.5167,-151.75,27.64,75,15,6.93,PF,1675483011
280,sorland,67.667,12.6934,2.92,67,100,8.63,NO,1675482868
281,najran,17.4924,44.1277,12.36,48,62,1.05,SA,1675482793
282,canesti,45.4,26.6,-0.5,84,100,1.54,RO,1675483011
283,wadi maliz,36.4681,8.5495,4.81,92,7,2.0,TN,1675483012
284,cankuzo,-3.1333,30.5833,13.02,93,86,0.71,BI,1675483012
285,faya,18.3851,42.4509,10.29,66,80,2.32,SA,1675483013
286,montes altos,-5.8333,-47.0667,21.93,97,87,1.51,BR,1675483013
287,port hedland,-20.3167,118.5667,35.03,43,6,4.12,AU,1675482876
288,coihaique,-45.5752,-72.0662,19.34,63,0,1.54,CL,1675482651
289,fonte boa,-2.4959,-66.2662,22.54,98,100,0.94,BR,1675483013
290,cayenne,4.9333,-52.3333,25.02,88,75,3.6,GF,1675483014
291,sobolevo,54.4299,31.8996,-11.1,97,89,2.26,RU,1675482841
292,bubaque,11.2833,-15.8333,24.88,60,3,6.38,GW,1675483014
293,iquique,-20.2208,-70.1431,23.02,77,59,0.24,CL,1675483003
294,lovozero,68.005,35.0117,-12.0,93,35,4.63,RU,1675483015
295,brus laguna,15.75,-84.4833,22.01,84,2,1.11,HN,1675483016
296,ukiah,39.1502,-123.2078,8.58,90,0,2.06,US,1675483016
297,san patricio,28.017,-97.5169,11.02,81,14,2.38,US,1675482866
298,altay,47.8667,88.1167,-4.99,86,99,0.44,CN,1675483016
299,cockburn town,21.4612,-71.1419,25.22,77,8,7.6,TC,1675482706
300,north platte,41.1239,-100.7654,-1.46,79,100,3.13,US,1675483017
301,chumikan,54.7183,135.315,-20.53,81,66,7.78,RU,1675482958
302,katsuura,35.1333,140.3,8.51,83,97,1.64,JP,1675483017
303,salisbury,51.0693,-1.7957,8.34,91,100,2.57,GB,1675483018
304,charters towers,-20.1,146.2667,30.99,52,100,2.73,AU,1675483018
305,sao sebastiao,-23.76,-45.4097,25.32,76,100,1.58,BR,1675483018
306,sao sebastiao do paraiso,-20.9169,-46.9914,18.86,93,100,1.47,BR,1675482800
307,vega de alatorre,20.0333,-96.6333,15.63,77,10,5.95,MX,1675483019
308,batticaloa,7.7102,81.6924,26.86,80,27,3.27,LK,1675483019
309,oranjestad,12.524,-70.027,25.97,77,20,8.75,AW,1675483020
310,hofn,64.2539,-15.2082,2.06,72,100,8.12,IS,1675482839
311,prudentopolis,-25.2131,-50.9778,19.24,100,100,1.41,BR,1675483020
312,priego de cordoba,37.4381,-4.1952,5.29,63,0,1.69,ES,1675483020
313,alofi,-19.0595,-169.9187,22.94,25,100,2.06,NU,1675483021
314,kampong thum,12.7111,104.8887,31.64,47,80,3.54,KH,1675483021
315,soyo,-6.1349,12.3689,26.77,86,97,4.47,AO,1675483022
316,namatanai,-3.6667,152.4333,28.51,75,100,3.01,PG,1675483023
317,mudigere,13.1333,75.6333,24.36,50,22,3.14,IN,1675483026
318,sakakah,29.9697,40.2064,6.76,61,0,3.71,SA,1675483031
319,pisco,-13.7,-76.2167,22.03,94,100,2.06,PE,1675483034
320,phuket,8.0,98.25,29.12,70,40,6.17,TH,1675482738
321,vila franca do campo,37.7167,-25.4333,15.23,89,88,3.27,PT,1675482885
322,staryy nadym,65.6118,72.6842,-11.33,96,96,3.85,RU,1675483039
323,outjo,-20.1167,16.15,19.85,78,100,0.98,NA,1675483040
324,sorong,-0.8833,131.25,27.87,74,100,2.77,ID,1675483042
325,goderich,43.7501,-81.7165,-9.82,57,100,6.17,CA,1675483033
326,asheville,35.6009,-82.554,-1.36,59,0,4.63,US,1675483047
327,itaituba,-4.2761,-55.9836,22.77,92,98,0.76,BR,1675483050
328,minbu,20.1833,94.8833,29.68,38,31,0.35,MM,1675483051
329,lagos,6.5833,3.75,26.18,92,33,1.13,NG,1675482520
330,udachnyy,66.4167,112.4,-32.86,100,98,0.79,RU,1675483054
331,bertoua,4.5833,13.6833,19.83,44,32,0.64,CM,1675483055
332,petropavlovka,50.6114,105.3196,-13.5,81,43,1.46,RU,1675483055
333,senanga,-16.1167,23.2667,18.71,97,100,1.6,ZM,1675483055
334,sydney,-33.8679,151.2073,29.63,24,0,6.17,AU,1675482413
335,waingapu,-9.6567,120.2641,24.84,89,100,4.9,ID,1675483056
336,san cristobal,7.7669,-72.225,19.1,63,5,0.64,VE,1675483056
337,mabaruma,8.2,-59.7833,21.31,99,73,1.09,GY,1675483057
338,madimba,-10.4,40.3333,25.03,89,100,1.61,TZ,1675483058
339,ulaanbaatar,47.9077,106.8832,-17.93,78,55,1.0,MN,1675482980
340,mathbaria,22.2876,89.9593,24.75,28,96,3.15,BD,1675483058
341,urucui,-7.2294,-44.5561,23.96,75,90,1.04,BR,1675483059
342,lichinga,-13.3128,35.2406,17.05,100,20,2.24,MZ,1675483059
343,barra do garcas,-15.89,-52.2567,22.78,92,100,0.63,BR,1675483059
344,nanpiao,41.0982,120.7479,1.68,24,0,2.84,CN,1675483060
345,yaan,7.3833,8.5667,25.14,29,63,1.9,NG,1675483060
346,sao joao da barra,-21.6403,-41.0511,24.01,90,44,6.93,BR,1675482780
347,chicama,-7.8447,-79.1469,20.3,75,96,2.1,PE,1675483061
348,mokhsogollokh,61.4681,128.9203,-22.62,95,100,1.24,RU,1675482825
349,port hardy,50.6996,-127.4199,6.1,93,100,7.72,CA,1675483061
350,lithakia,37.7167,20.8333,2.65,61,18,5.95,GR,1675483061
351,shimoda,34.6667,138.95,11.2,42,82,7.59,JP,1675482844
352,hokitika,-42.7167,170.9667,22.41,80,39,2.8,NZ,1675483062
353,kyren,51.6828,102.1408,-10.46,76,15,0.47,RU,1675483062
354,aquiraz,-3.9014,-38.3911,27.32,85,77,4.53,BR,1675483063
355,resplendor,-19.3256,-41.2553,21.56,88,9,0.91,BR,1675483063
356,delaware,39.0004,-75.4999,-6.11,38,0,8.75,US,1675483063
